tau_overlap,tau_dual,n_seeds,mean_delta,std_delta,mean_acceptance,mean_smoke_AP50,locked_policy
0.5,0.05,2,+0.0038,0.0042,0.189,0.5141,no
0.5,0.1,2,+0.0019,0.0022,0.088,0.5103,no
0.5,0.2,2,-0.0001,0.0000,0.027,0.5062,no
0.5,0.3,2,-0.0001,0.0000,0.003,0.5063,no
0.6,0.05,2,+0.0049,0.0053,0.211,0.5164,no
0.6,0.1,2,+0.0025,0.0029,0.098,0.5116,no
0.6,0.2,2,+0.0001,0.0003,0.030,0.5067,no
0.6,0.3,2,+0.0001,0.0002,0.004,0.5068,no
0.7,0.05,2,+0.0053,0.0045,0.230,0.5172,yes
0.7,0.1,2,+0.0031,0.0021,0.109,0.5127,no
0.7,0.2,2,+0.0008,0.0004,0.035,0.5080,no
0.7,0.3,2,+0.0005,0.0001,0.006,0.5074,no
