target,fold,seed,arm_a,arm_b,point_a,point_b,point_delta,boot_mean_delta,ci_2.5,ci_97.5,n_images,n_boot
RGB_vs_Dual,2,42,RGB,Dual,0.25219311819440837,0.16417268727190093,0.08802043092250744,0.08785772762044161,0.08312213284542519,0.09376278164332195,1684,200
RGB_vs_GateA,2,42,GateA,RGB,0.2620161267391755,0.25219311819440837,0.009823008544767142,0.009900182665306834,0.007969145240894282,0.011703121231590459,1684,200
RGB_vs_Dual,2,1337,RGB,Dual,0.2542969654948898,0.20133280507426063,0.05296416042062915,0.053393678303397786,0.04839664903780038,0.05878947711448401,1684,200
RGB_vs_GateA,2,1337,GateA,RGB,0.2551720548842394,0.2542969654948898,0.0008750893893496037,0.0007638564664253925,3.218801279392118e-05,0.001603625932848048,1684,200
RGB_vs_Dual,2,2024,RGB,Dual,0.25384190726511296,0.1586084137642598,0.09523349350085317,0.09494909284945914,0.0907621387334461,0.09875040034716405,1684,200
RGB_vs_GateA,2,2024,GateA,RGB,0.25370768919231734,0.25384190726511296,-0.00013421807279562215,-8.715579882755772e-05,-0.0002917705955196151,-1.5348680431362392e-06,1684,200
RGB_vs_GateA,1,42,GateA,RGB,0.17988063135101298,0.07191011803599907,0.10797051331501391,0.10715783463997365,0.09643926555522431,0.11825791432748607,1562,200
RGB_vs_GateA,1,1337,GateA,RGB,0.16649586459599494,0.11216198682892313,0.05433387776707181,0.054021360583441494,0.04588223468463885,0.06350773482286895,1562,200
RGB_vs_GateA,1,2024,GateA,RGB,0.18537025889028555,0.05841923997052539,0.12695101891976016,0.12705175248184036,0.11783021552739228,0.1369255498549825,1562,200
